#,Iron Mountain PAX,Sponsor
1,Jaws,Huckleberry
2,Pool Boy,Canuck
3,Flipper,Escobar
4,Sapphire,Carnival
5,Escobar,Sapphire
6,So So,
7,Preacher Man,
8,Sinco,
9,747,Squid
10,Clover,
