Name,Q Count
Freighter,16
Paneer,10
Slice,11
Tater,7
Huckleberry,7
Carnival,5
Arson,4
Canuck,3
Metamucil,2
Crunch,1
Blade,2
Rabbit,1
Hooch,4
Backslash,1
