Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Thursday,4/15/2021,"Repo, Mantle",8,,"Repo, Mantle, Tater, Paneer, Maraca, Slice, Arson, Freighter",Repo/Mantle Co-Q!,4,2021
Saturday,4/17/2021,Longhorn,12,2,"Longhorn, Tater, Bandsaw, Barbie, Kenny G, Slice, Freighter, Maraca, Mantle, Mijo, Paneer, Huckleberry","Longhorn VQ BQ! Barbie (FNG), Kenny G (FNG)",4,2021
Tuesday,4/20/2021,Slice,11,1,"Slice, Huckleberry, Maraca, Mantle, Tater, Repo, Paneer, Freighter, Mijo, Arson, Casper",Casper FNG!,4,2021
Thursday,4/22/2021,Repo ,11,2,"Repo, Arson, Tater, Mantle, Slice, Paneer, Huckleberry, Freighter, Maraca, Paddle, Retina","Repo VQ + 2 FNGs! Paddle (FNG), Retina (FNG)",4,2021
Saturday,4/24/2021,Tater,18,3,"Tater, Repo, Mijo, Barbie, Slice, Retina, Arson, Big Sky, Canuck, Bandsaw, Alien, Kenny G, Paneer, Daft, Freighter, Grout, Huckleberry, Peloton","3 FNGs! Alien, Grout, Peloton",4,2021
Tuesday,4/27/2021,Mantle,12,,"Tater, Grout, Longhorn, Slice, Retina, Huckleberry, Freighter, Mijo, Repo, Arson, Paneer",,4,2021
Thursday,4/29/2021,Arson,12,1,"Arson, Big Sky, Freighter, Grout, Longhorn, Mantle, Mijo, Paneer, Repo, Slice, Tater, Trauma",Arson VQ! + FNG Trauma,4,2021
Saturday,5/1/2021,Paneer,10,1,"Paneer, Huckleberry, Canuck, Grout, Slice, Punk, Daft, Mantle, Mijo, Gopher",Gopher FNG,5,2021
Tuesday,5/4/2021,Huckleberry,15,1,"Huckleberry, Tater, Trauma, Retina, Doughboy, Repo, Arson, Paneer, Slice, Freighter, Maraca, Mantle, Grout, Longhorn, Canuck",FNG Doughboy! Huckleberry first F3 Boise Q,5,2021
Thursday,5/6/2021,Repo,11,,"Repo, Grout, Trauma, Retina, Paneer, Freighter, Slice, Mantle, Huckleberry, Tater, Arson",,5,2021
Saturday,5/8/2021,Slice,17,2,"Slice, Freighter, Tater, Flea Fly, Huckleberry, Daft, Grout, Paneer, Barbie, Bandsaw, Retina, Sal, Gopher, Repo, Ahi, Arson, Canuck",2 FNGs! (Sal and Ahi),5,2021
Tuesday,5/11/2021,Freighter,11,,"Freighter, Slice, Tater, Huckleberry, Grout, Paneer, Retina, Arson, Repo, Mantle, Longhorn",,5,2021
Thursday,5/13/2021,Mantle,9,,"Mantle, Freighter, Paneer, Retina, Repo, Grout, Huckleberry, Tater, Slice",,5,2021
Saturday,5/15/2021,Tater,11,1,"Tater, Freighter, Slice, Paneer, Alien, Gopher, Daft, Punk, Huckleberry, Red Elephant (DR), Gronk","SolekIDs Event BD, Gronk FNG",5,2021
Tuesday,5/18/2021,Tater,6,,"Tater, Slice, Freighter, Grout, Mantle, Huckleberry",Hold Breath BD,5,2021
Thursday,5/20/2021,Mantle,7,,"Mantle, Slice, Freighter, Huckleberry, Paneer, Repo, Tater",,5,2021
Saturday,5/22/2021,"Freighter, Paneer",8,,"Freighter, Paneer, Tater, Arson, Mantle, Canuck, Kenny G, Daft",First Rain BD,5,2021
Tuesday,5/25/2021,Huckleberry,4,,"Huckleberry, Freighter, Arson, Tater",,5,2021
Thursday,5/27/2021,Tater,10,,"Tater, Alien, Retina, Huckleberry, Slice, Grout, Paneer, Freighter, Arson, Repo",SFC Will Lindsay Tribute Day 1,5,2021
Saturday,5/29/2021,Freighter,10,1,"Freighter, Slice, Paneer, Arson, Tater, Daft, Punk, Kenny G, Canuck, Gandhi",Gandhi FNG!,5,2021
Tuesday,6/1/2021,Daft,9,,"Daft, Slice, Huckleberry, Tater, Cycle Bar, Arson, Alien, Repo, Freighter",,6,2021
Thursday,6/3/2021,Slice,13,,"Slice, Freighter, Paneer, Grout, Retina, Arson, Cycle Bar, Gandhi, Longhorn, Trauma, Tater, Mantle, Huckleberry",Freighter 100th Post!!!,6,2021
Saturday,6/5/2021,"Tater, Paneer",13,,"Tater, Paneer, Gandhi, Freighter, Lilo, Slice, Repo, Mantle, Arson, Retina, Longhorn, Canuck, Couch Potato",Lilo's back! Couch Potato's first F3 Boise post,6,2021
Tuesday,6/8/2021,Mantle,7,,"Mantle, Freighter, Slice, Arson, Grout, Canuck, Tater",,6,2021
Thursday,6/10/2021,Huckleberry,9,,"Huckleberry, Retina, Slice, Grout, Paneer, Tater, Gopher, Freighter, Lilo",RAINY RUN,6,2021
Saturday,6/12/2021,Canuck,11,,"Canuck, Arson, Grout, Paneer, Kenny G, Tater, Flea Fly, Couch Potato, Huckleberry, Retina, Freighter",Canuck VQ!!! Slice 100th Post,6,2021
Tuesday,6/15/2021,Retina,10,,"Retina, Mantle, Arson, Canuck, Slice, Repo, Huckleberry, Grout, Flea Fly, Tater",Climbing Rope Q,6,2021
Thursday,6/17/2021,Canuck,8,,"Canuck, Tater, Slice, Cycle Bar, Mantle, Gandhi, Paneer, Grout",,6,2021
Saturday,6/19/2021,Slice,12,3,"Slice, Lilo, Gandhi, Grout, Sriracha, Canuck, Freighter, Pele, Slater, Paneer, Cycle Bar, Paneer","3 FNGs!!!! Sriracha, Pele, Slater",6,2021
Tuesday,6/22/2021,Retina,7,,"Retina, Canuck, Daft, Punk, Freighter, Sriracha, Grout",,6,2021
Thursday,6/24/2021,Lilo,11,,"Lilo, Tater, Paneer, Sriracha, Retina, Repo, Grout, Slice, Freighter, Gandhi, Canuck",,6,2021
Saturday,6/26/2021,Grout,16,,"Grout, Paneer, Sriracha, Retina, Slice, Freighter, Canuck, Daft, Punk, Mantle, Red Elephant, Big Sky, Lilo, Trauma, Gopher, Flea Fly",Grout VQ! ,6,2021
Tuesday,6/29/2021,Daft,10,,"Daft, Punk, Slice, Huckleberry, Tater, Red Elephant, Arson, Gopher, Retina, Freighter",,6,2021
Thursday,7/1/2021,Paneer,5,,"Paneer, Freighter, Slice, Lilo, Arson",,7,2021
Saturday,7/3/2021,Freighter,11,1,"Freighter, Slice, Tater, Paneer, Repo, Arson, Canuck, Lilo, Big Sky, Kingpin (DR), Goat (FNG)",FNG Goat!,7,2021
