Tuesday,3/9/2021,Tater,7,,"Tater, Freighter, Slice, Mantle, Repo, Longhorn, Paneer",Biggie Smalls Theme,3,2021,,28,Kenny G,Huckleberry,,Old Spice,2,,Flea Fly,30,
Thursday,3/11/2021,Slice,7,,"Slice, Freighter, Tater, Mantle, Repo, Paneer, Lilo",,3,2021,,29,Casper,Mijo,,Longhorn,1,,Bruno,46,
Saturday,3/13/2021,Lilo,12,,"Lilo, Freighter, Tater, Paneer, Slice, Mantle, BumpHer, Longhorn, Daft, Punk, Laettner, Cycle Bar",Lilo VQ!,3,2021,,30,Paddle,Tater,,MarkyMark (DR),1,,Focker,32,
Tuesday,3/16/2021,Slice,6,,"Slice, Paneer, Freighter, Lilo, Tater, Longhorn",Tater HIM Theme BD,3,2021,,31,Retina,Tater,,LOL (DR),1,,Metamucil,24,
Thursday,3/18/2021,"Freighter, Paneer",7,,"Paneer, Freighter, Slice, Tater, Lilo, Mantle, Cycle Bar",Paneer/Freighter Co-Q,3,2021,,32,Alien,Huckleberry,,Red Elephant,1,,Doppler,26,
Saturday,3/20/2021,"Slice, Mantle",11,1,"Slice, Mantle, Freighter, Tater, Paneer, Lilo, Cycle Bar, Daft, Punk, BumpHer, Handy Manny",Slice/Mantle Co-Q/Handy Manny FNG,3,2021,,33,Grout,Freighter,,Rabbit,1,,Donatello,36,
Tuesday,3/23/2021,Tater,5,,"Tater, Freighter, Paneer, Mantle, Repo",,3,2021,,34,Peloton,Tater,,Squid,1,,Longhorn,22,
Thursday,3/25/2021,Tater,6,1,"Tater, Freighter, Paneer, Mantle, Cycle Bar, JackHammer",JackHammer FNG,3,2021,,35,Trauma,Freighter,,Big Sky,1,,Boogeyman,22,
Saturday,3/27/2021,Paneer,13,2,"Paneer, Tater, Mantle, Freighter, Repo, Jack Hammer, Cycle Bar, Daft, Popeye (DR), Red Ryder (DR), Quid, BumpHer, Stallion",2 FNGs! (Popeye and Stallion),3,2021,,36,Gopher,Huckleberry,,Stinger,1,,Wooderson,34,
Tuesday,3/30/2021,Tater,9,1,"Tater, Slice, Freighter, Paneer, Longhorn, Mantle, Repo, KingPin (DR), Big Sky",Big Sky FNG!,3,2021,,37,Sal,Paneer,,Boogeyman,0,,Squid,21,
