Name,Q Count
Gopher,16
Flea Fly,19
Boogeyman,18
Doppler,9
Chunks,5
Tater,2
Slice,2
Freighter,1
Blade,2
Gas Man,5
Crunch,7
Cortana,6
Canuck,1
Halitosis,1
Ramsay,1
Red Elephant,1
Wooderson,0
