Name,Q Count
Slice,24
Freighter,17
Blade,17
Arson,13
Retina,13
Carnival,9
Rocketman,9
Paneer,7
Tater,5
Longhorn,5
Trauma,5
Boogeyman,5
Halitosis,6
Big Sky,4
Daft,3
Gas Man,4
Gopher,2
Cycle Bar,1
Hammer,1
Kingpin,1
Mijo,1
Canuck,1
Flea Fly,1
Captain Hook (DR),1
Shameless,1
Grout,1
Hightower,2
Huckleberry,1
Crunch,3
Sand Trap,4
Wooderson,2
Zit,2
