ao,q,pax,fngs,date,title,moleskine,bb_type
bleach,sheets,"backslash,epa,guac,hacksaw,hooch,moab,hillary,old spice,pigeon,sheets,stinger,strings",,2023-08-14,It felt like a Monday,"DISCLAIMER

WARMUP:
7 to 1 Motivators
Abe Vigoda
Waterfall calf stretch
Michael Phelps
Grass Grabbers
Mountain Steps + Hold Plank

THE THANG:
Sandbag/Ruck to Picnic Tables
Lunges (with Ruck) back to sidewalk - hold low squat till all done
Series of Squats (with random low holds)
Lunges (with Ruck) back to sidewalk - hold low squat till all done
Series of Squats (with random low holds)
Romanian Single Leg Lunge (back leg on picnic table) - series for each leg
Picnic Table Box Jumps
Ruck/Sandbag to bottom of hill by the high school (drop ruck/sandbag)
Bear Crawl up hill - hold plank till everyone gets there
Crawl Bear down hill - hold plank till everyone gets there
Sandbag squats
Sandbag clean + toss up hill + hold squat till everyone reaches
20 sandbag burpees (led by @EPA)
Bear Crawl sandbag drag to bottom of hill
Alternating leg merkins
Ruck+Sandbag back to flags

MARY:
Spiderman Merkins
Single Leg Clap Situps
No Surrenders until 6AM

ANNOUNCEMENTS:
Special guest appearance by @Windbag
Covering House next week
CSAUP + Aaron Butler Purple Heart Run (sign-up for the F3 Boise Team)
GTE38 - Signup or volunteer

THAT'S WHAT SHEETS SAID:
Fear is a healthy part of our psyche, but it can also be a major hindrance in our lives.  Fear keeps us safe - things like crossing the street without looking.  At the same time, it can paralyze us - causing us to over analyze and not move forward with our lives.  Let's all be aware of fear in our lives and overcome it so we can keep pushing ahead.  Use your F3 brothers as support - chances are somebody has been through something similar to what you are growing through, or will at a minimum be a sounding board to help you.

COT: Yes, please, and thank you.

Thank you PAX for spending your morning in the gloom with me.  I know it helps me start my week off on the right foot - I hope it does the same for each of you.",backblast
old-glory,kremlin,"kremlin,napoleon,princess,slice",,2023-08-14,Pool beatdown,"*WARMUP:*
Asphalt grabbers X 5
Quad stretch 10 count
Flapjack
Michael Phelps X 5

*THE THANG:*
Mozy to the pool - 1.25 miles

Swim a lap and back
Water squats
Water lunges
Pool stair merkins
We rotated positions after the swimmer got back from swimming his lap.

Sharks and minnows - Princess was the reigning Shark most rounds. He also saved the pool spider.

Marco polo 

*ANNOUNCEMENTS:*
Aaron Butler this Saturday
Grow ruck - please sign up to either ruck or help out

*COT:*

Thanks all for coming out and for the fun pool beatdown.  ",backblast
black-ops,sushi,"jar jar,sushi",,2023-08-13,Easy Valley Heavy Ruck 60,"Blackops Location/Time:
#ao-rise
0600~0700

Conditions:
55°F / 13°C
Clear

WARMUP:
Rucks/sandbags on

THE THANG:
60 minute heavy ruck
Paused by the New York Canal to admire the scenery and complete exercises:
LBAC x10 IC + FJ
Overhead claps x10 IC
Ruck bent-over rows x20 OMU
30sec stretches OYO

Returned to via ECC parking lot, and paused for exercises:
Dips x20 OMD

Finished things off with a trek up Rise hill and back

ANNOUNCEMENTS:
Thanks to everyone who helped build the deck for Abe's family
Aaron Butler 5K/10K/UnknownK 08/19
Sign up for Covering House - link in #3rd-f channel
GTE38 34 days out - focus on maintaining form and ability, injury avoidance

COT:
Chance meeting with Husker in Rise parking lot

Thanks HIMs

-Sushi",backblast
iron-mountain,escobar,"asphalt,big sky,chlorine,escobar",,2023-08-13,We Care A Lot! ,"WARMUP:
Stretching and Mosey around the park

THE THANG:
4 rounds of Care Bears Square w 10 sets of curls, squats, Overhead Press and Thrusters
Forward, Reverse and Side Bear Crawls or Lunges

2 Rounds of Build me a house:  1 PAX Farmer Carried 5 coupons and stacked them while remaining PAX performed
Burpees
Hand Release Merkins
180° Jump Squats
Monkey Humpers
Planks

MARY:
2 Minutes of Stepups

ANNOUNCEMENTS:
Aaron Butler Memorial Run on August 19th.  We have a team and you can still sign up.

Warhorse HIMs Lunch was scheduled for August 19th.  May be rescheduled.

September family event at the Nampa Rollerdrome. The date is TBA

Covering House Run.  Check the 2nd F Channel

Mission 43 9/11 Miles for Rememberance on September 11th at 600PM at Anne Morrison Park 

COT:

Praying for all our PAX ",backblast
bleach,canuck,"canuck,guac,hacksaw",,2023-08-12,Back to basics,"*WARMUP:*
Abe Vigota
Grass grabbers
Waterfall stretch
Baby back stretch

*THE THANG:*
Deadlift
Good morning
Bent over row
Pull-ups
Aussie pull-ups
Eccentric pull-ups
Bench supported row
Eccentric hamstring lower

Rinse and repeat

*MARY:*
*ANNOUNCEMENTS:* covering house, pickle ball, building deck for Abe, GTE
*COT:* IR pax",backblast
gem,sheets,"blackbeard,chubbs,doodle,hooch,napoleon,sand trap,sheets",,2023-08-12,Double Down for 400,"THE THANG:

Eight Rounds-
Start of each round do a set of (ruck on for all):
5 merkins
5 sandbag grave diggers
5 sandbag squats
5 sandbag bent over rows
5 sandbag clean and toss overhead

Round 1 - slick run, 25 mountain climbers, run back
Round 2 - ruck run, 25 plank shoulder taps, ruck run back
Round 3 - ruck/sandbag run, 25 J-Los, ruck/sandbag run back
Round 4 - table push (2 tables) with sandbags, 25 Catalina wine mixers, table push back
Round 5 - slick run, 25 plank hip taps, run back
Round 6 - ruck run, 25 Freddy Mercuries, ruck run back
Round 7 - ruck/sandbag run, 25 bird dogs, ruck/sandbag run back
Round 8 - table push (2 tables), 25 big boy situps, table push back

Total of 400 reps per PAX to celebrate the 400th BD at Gem!

Finished just in time for @Hooch to organize and set up for BD.  Excellent work this morning PAX.  Thanks for the opportunity to be with you in the gloom and push each other just a little more.",doubledown
gem,hooch,"blackbeard,chubbs,chunks,doodle,flea fly,gas man,halitosis,hooch,huckleberry,kanu,napoleon,princess,red card,retina,revere,sand trap,sheets,sushi,lilo",,2023-08-12,400,"Disclaimer Given

*WARMUP:*
Double Apple Mosey
SSHx20IC
Waterfall Calf stretch 
Grassgrabbers 
LBACs
OH Clapsx10IC
Michael Phelps
1 minute Free Stretch

*THE THANG:*
Part 1:
Station #1: 20 reps Merkins and BBSUs, alternating movements for each of 5 sets.
Station #2: 20 reps choose your own Coupon movement. 
Station #3: 4/5 man table push about 40 yards. Complete 20 step ups. Table push back.
Complete rotation 5 times.

Part 2:
Ultimate Football. Teams have 10 throws to score. On a score or turnover the team on the wrong end does punishment burpees totaling remaining throws.
Well, Team 1 played Ultimate Football. Team 2 did burpees.

*ANNOUNCEMENTS:*
300 BDs for Tina! Well done HIM! F3 Boise would not be the same without you!
GTE. Sign up. Many volunteers wanted.
Aaron Butler 8/19. 5k,10k or Unknown Distance.

*COT:*
We create legacy one day, one choice at a time. 400 sweat drenched Mornings later and Gem has as solid a legacy and reputation as you could ask for. May we all leave such a mark!",backblast
bellagio,methane,"methane,slice",,2023-08-12,Back at it,"*WARMUP:*
Mosey around parking lot.

*THE THANG:*
Rucks on, sandbag/kettlebell carry to statue
5x squats
Carry to bocce courts
Rope tied to 35# KBs, PAX bear crawled on court to end of rope, then did sitting KB pulls to bring KB to them. Repeat for full length of court.
10x steps ups
BC/KB pulls back
5x Merkins
SB carry to statue, then 5x squats
Repeat this sequence 3x. Last round KB pulls were performed standing with rope pulled through legs (similar to swing), and exercises were switched to walking lunges and ruck upright rows. 
Carry all gear back to cars.
Time called at 0555
",doubledown
tower,face plant,face plant,,2023-08-12,Making up for some missed workouts,"*WARMUP:*

SSH x 20
Grass grabbers x 10
Michael Phelps x 10
Worlds greatest stretch x 30 seconds each side
Mosey

*THE THANG:*

Set up sandbag and coupon about 80 yards apart. Did 11s running back and forth between them. 

11s
Sandbag squats
Coupon Rows

0.5 mile Mosey

Sandbag Deadlifts
Coupon Over head press

0.5 mile Mosey

Burpees 
Lunges (both sides equals 1)

0.5 mile Mosey

*MARY:*

None

*ANNOUNCEMENTS:*

Refer to F2 channel

*COT:*

Yep",backblast
bellagio,slice,"kremlin,methane,slice,stinger",,2023-08-12,Slice DID come out!,"Weather
- Low 60s. Sure felt hot

Disclaimer 

CoP
- Lap mosey
- 25 Grady Corn IC
- 15 GGs IC
- 15 Michael Phelps IC
- 15 Imperial Walkers IC

Mosey’d between the Amphitheater and the far benches after each exercise. 

Started with 20 reps for each exercise. 

Amphitheater 
- Merkins
- Incline Lunges

Benches
- Touch your butt squats
- Dips

20-15-10-5-2 reps for each exercise. 

Mosey back to the vehicles

Mary
- 25 LBCs IC
- 25 Flutter Kicks IC
- 25 knee to opposite elbow crunch IC
- 25 American Hammers IC

Repeato @ 15 IC for each. 

CoT 
- CoR = 4
- NoR
- Announcements
- TAPs

Great being back out in the gloom with you men. Honor to lead. 

Slice",backblast
camels-back-park,biczar,"bear claw,biczar,cavity,defrost,double wide,gopher,undercover,sushi,neinstein",,2023-08-11,We Did It! Yay! ,"We need to find Mary so we can be fit! 

*WARMUP:*
Mosey and rosey over the tall hill!

Complete the little stretch!
(Grass grabbers x 8 IC
True Michael Phelps x 8 IC
LBAC x 8 IC Flapjack)


*THE THANG:*
Climb the long ladder!
(Dora ladder in pairs with 200m mosey:
100 merkins
200 LBC
300 SSH
200 Squats
100 Dips)

*MARY:*
Hurray! We found Mary!
(Freddie Mercuries x 18 IC
Slow Leg lifts x 8 OMU
Plank - 2 min
Star gazers - 30 seconds)

*ANNOUNCEMENTS:*
GroRuk coming up! 
Aaron Butler Memorial Purple Heart Run - 8/19
Covering House 24,901 mile challenge - 8/20-8/26

*COT:*
You will find more joy by giving love than by wearing yourself out trying to earn love. ",backblast
ruckership-east,canuck,"canuck,epa,guac,hawkeye,hooch,sheets,timney",,2023-08-11,Stairway to heaven ,"*WARMUP:*
*THE THANG:* 

Phase 1: walk the stairs and rotate through heavy bags

Phase 2: with battle buddies 1 pax carries heavy bag, the other runs (slick) up/ down stairs to catch battle buddy and switch

*MARY:*
*ANNOUNCEMENTS:* covering house, each pax there already in GTE- find 1 pax to EH for event and 1 pax to EH for support
*COT:* marriages ",backblast
ruckership-west,big sky,"big sky,escobar,hightower,princess,telecaster",,2023-08-11,Caldwell green belt ,2 1/2 miles under weight,backblast
backyard,doodle,"cortana,doodle,flea fly,gas man,ramsay,strings",,2023-08-11,Burden,"*WARMUP:*
Abe Vigota 
Grass Grabbers 
High Knees 
Butt Kickers
Muricans 

Movement to the track. 
*THE THANG:*
Movement around the track with SB and Rucks. (Ruck worn at all times )
1 pax carry the 100# burden 200 m. Passes it to the next pax and then runs 400m (ruck only) picks up a dropped sandbag and rejoins group.  Group rucks together passing the 100# bag and alternating runs 

*MARY:*
Doodle blasters 
Flutterkicks 

*ANNOUNCEMENTS:*
There are quite a few ! Check the F2 channel. 

*COT:*
Prayers for the backyard community ",backblast
tower,canuck,"canuck,cortana,doppler,gopher,hipaa,huckleberry",,2023-08-10,HDT upper,"*WARMUP:*
*THE THANG:* See pic
*MARY:*
*ANNOUNCEMENTS:* growruck sign up for event and support needed, covering house
*COT:* that we would push through dry times to be the HIM that our family and friends need",backblast
rebel,family guy,"buff,chief,family guy,pearl,pigeon,retina,tenor,wooderson",,2023-08-10,"We Should Have Named Retina ""Full Throttle""","WARMUP: Never at Rebel!
THE THANG: 

Timed 2 minutes:
40 Hand Release Merkins 
50 Butterfly Situps

Timed 2 mile run with one PAX unapologetically shattering any previous Rebel records. All PAX did this in under 17 minutes, though. Nice work!

Timed 50lb 1.0 mile ruck. Some PAX carried more than 50 pounds. 

ANNOUNCEMENTS: GTE, Covering House challenge at end of this month, probably a few other things I'm forgetting 

COT: Prayers for firefighters who were killed earlier this week, fires in Hawaii, injured PAX",backblast
gem,gas man,"chubbs,escobar,gas man,zilla,princess,red card,sand trap,sheets",,2023-08-10,Reunited and it felt so good ,"*WARMUP:*
Conditions: Clear, low 60’s, dark 
Disclaimer 

Mosey 
SSH - 25 IC 
GG, Abe Vigoda, Goofball, MP 
“Eagle wings” 
Jump squats leg burner: 
180 degrees, front/back, side-side each x 10 IC

*THE THANG:*

Jammin’ to hits of ‘98 - 
Everything from Brittany to Beastie boys, BNL to The offspring 

All done x25 IC

S - Squats (w jump) IC 
K - Kicks that switch IC 
Y - Yul Brynner (5 diff Merks x5) IC 
L - Lunges (Bonnie Blair) IC 
I - Incline merkins IC 
N - No surrenders IC 
E - Endless plank (low, high, side to side) 

Sprint to street between after each set 
Build- Sprint - Float 

Escalating Kraken burpees at each end. 
Maxed at 5 

*MARY:* See “E”

*ANNOUNCEMENTS:*
9/11 memorial run 
GTE- volunteer options  
Aaron Butler - watch for F3 team registration 
Telecaster to host F2 

*COT:* ✅

Honor to lead. Great group and energy in the gloom. Lots of heavy stuff being carried by all - some seen, most unseen. Take time to nurture relationships. Great seeing Chubbs back out - congrats on new practice opening this week!",backblast
bellagio,strings,"bigmac,methane,samwise,stinger,strings",,2023-08-10,300 What-kins?,"*WARMUP:*
5mm, 10 burpees, ~1min horse stance

*THE THANG:*
Bottom of hill: 5x under the wire merkins, 10x curls for the gurls, backwards crazy train to the top of the hill w/ coupon;
Top of the hill: 10x Merkins, 10x BBS, mosey to other bottom of hill;
Other bottom of hill: 10x deeplunge/ leg, sprint back to top of hill, 10x Merkins, 10x BBS, backwards crazy train to bottom of hill. 
Repeat two more times, finish with 5x under the wire Merkins, 10x curls for the gurls. 

10 rounds - Super set 10x Merkins, 10x Coupon swings. 

Aimed for 300 Merkins. Accomplished. Some pax had 20lbs rucks or vests on. 

*MARY:*5sec star gazers

*ANNOUNCEMENTS:*
Sign-up for grow ruck. Check out huckleberry’s post. If you can’t make it, consider supporting the group at some point through the event.
Q spots at Bellagio, if you need help with a Co- Q, we’re all here to guide and assist. 
Aaron Butler, and covering house, coming up. 

*COT:*
“Nothing ever doesn’t change, but nothing changes much.” OK GO, White Knuckles

Coming out and putting in the reps is how we make incremental progress towards our ideals. Like the song says, “Nothing ever doesn’t change” or another words, “things are always changing.” If we’re not coming out and putting in the reps, change still happens, it’s just not in our control “what” changes. When we put in the effort, little by little, positive change will happen. And because we are putting in the effort, we decide in what direction our changes is happening. 
This is a principle of change for fitness: be it physical, emotional, spiritual, mental, work, education…it all requires incremental improvement. ",backblast
bleach,hooch,"hooch,moab,zelda,old spice,sheets,strings,timney",,2023-08-09,Hips and Core and Gravediggers ,"*WARMUP:*
-""Car wash"" mosey
-Strings led us in ""5 Minute Miracle."" If you don't know you should find out.
-LBAC
-1 Minute Free Stretch

*THE THANG:*
Tabata: 45 seconds on, 15 seconds rest and 1 Minute between Super Sets. 
-Alabama Prom Queen (On your 6, SB across your hips, raise your hips tightening your glutes at the top).
-Gravediggers
-Bear Complex (Front Squat, OH Press, Back Squat, OH Press. Repeat).
-Glute Get Ups

*MARY:*
-LBCs x 25 IC
-Stargazers for last 45 seconds 

*ANNOUNCEMENTS:*
Aaron Butler 8/19. 
Covering House.
GTE is coming. Sign up!

*COT:*
Pick up Q-Source today. Read on Contentment Q3.11. Great stuff in there. 
F3 is a great Antidote to and Protection from depression.  Get invested, share your struggles and work toward achieving goals by coming alongside your Brothers.

I love you all. Thank you for the opportunity to lead this morning and, as always, SYITG. ",backblast
old-glory,halitosis,"chubbs,halitosis,kremlin,napoleon,scalp,yardstick",,2023-08-09,Sled dogs station rotation,"Warmorama 

7:1 motivators
LBAC
Seal clap/OH clap
Abe vigoda
Elephant walk stretch

The thang
Station rotation 
1 - sled drag bball court length
2-layup drill, 5 Bobby Hurley’s repeat until 1 is done
3- sled pull forward bball court length
4 - thrusters until 1 is done
5 - sand bag walking lunges until 1 is done

Break with 10 burpees, American hammers 





Go long
1 offense 1 defense 1 qrtrback
If reception, defense does 5 burpees 
If incomplete, tasters choice 5 burpees 
If interception, quarterback does 5 burpees 
Hold Al gore while waiting

Time called. 

*ANNOUNCEMENTS:* Aaron butler, GTE
*COT:* we did one",backblast
black-diamond,freighter,"blade,freighter,paneer,samwise,sand trap,stinger",,2023-08-09,Because Slice Wont' Come Out,"*THE THANG:*
Make sure the device in the parking lot wasn’t a bomb 

Weight vest on
Quick mosey in the parking lot.
40-yard sprint across the parking lot and back
1 step up
40-yard sprint across the parking lot and back
1 coupon curl
40-yard sprint across the parking lot and back
1 SB bent row
40-yard sprint across the parking lot and back
1 - 100lb burden bag squat
40-yard sprint across the parking lot and back
Repeat this until we hit 10 reps of each exercise.
A total of 55 Step ups / Curls/ Bent rows/ Squats were completed.
Halftime -- Mosey around the parking. 
40-yard sprint across the parking lot and back
1- HRM
40-yard sprint across the parking lot and back
1- Coupon Sumo squat
40-yard sprint across the parking lot and back
1- SB power clean
40-yard sprint across the parking lot and back
1 - 100LB Burden bag calf raise.
40-yard sprint across the parking lot and back
Repeat this until we hit 10 reps of each exercise.
A total of 55 HRM / Sumo Squats / Power Cleans/ Calf raises were completed.
Burden bag bear hug 20 yards across the parking lot and back
Recover Recover

AAR -- Form check 

4.22 miles today
Samwise was the MVP this morning 

*MARY:*
We don't do this. 

*ANNOUNCEMENTS:*
GTE

*COT:*
Yep",backblast
bleach,sheets,"hooch,moab,sheets,timney",,2023-08-09,Ruck + Sandbag DD,"THE THANG:
Ruck + Sandbag to Picnic tables
12 each of the following (ruck on)
Foot Release Sandbag Squats
Erkins on Picnic Table Bench
Sandbag Step-ups Right Leg
Sandbag Step-ups Left Leg
Derkins (Feet on Picnic Table Bench)
Dips (modified as necessary - Sandbag on lap if needed instead of ruck on)
Ruck + Sandbag to Cole Road (.8 miles)
24 Derkins - hands on sandbag + ruck on
6 sandbag modified skull crushers (behind head followed by in front of face on the down)
Incline plank on metal fence - move all the way to the right + move all the way to the left
Ruck + Sandbag to Flag

DISCUSSION:  During the ruck - discuss Q3.11 Contentment - Pursuit of Joy over Happiness; the journey as a whole as opposed to seeking just the highs in life; faith and higher power; durability and resilience; the function F3 has for all of us.  I was impressed with the discussion we had under the weight of a ruck and sandbag.  Thanks for being there for me this morning HIMs.",doubledown
backyard,doppler,"doppler,gopher,pearl,tater,telecaster,wooderson",,2023-08-09,@cardinal returns to F3Boise,"*WARMUP:*

Potato Pickers
High Knees
Butt Kickers
Burpees IC

*THE THANG:*
Ruck Calf Raises - AMRAP 5 Minutes
Burpees - 10 IC
Lateral Lunge with Ruck 3x50 OYO
Ruck Overhead Squat 36 Reps - if your form fails, you ruck a lap to recover and resume until reps are complete. 
Forward Lunge with Ruck overhead - if your form fails, you ruck a lap to recover and resume until reps are complete. 
Knee Drive Kick - Slick - 30 OMU
Burpees -10 IC
*MARY:* 

No time

*ANNOUNCEMENTS:*
Aaron Butler Memorial Run is Saturday August 19th. Great 1st F/2nd F event. 5K/10K/Unknown Distance. Run or Ruck. 
Covering house Run/Cycle/Ruck for awareness. See Rebel channel for signups.
(@pearl) does not have internet, so if you see him, tell him thanks for bringing back the red flag. 

*COT:* 
Yes, we took a moment to say thanks for the opportunity to participate and improve our bodies. 

*EXTRA CREDIT:* 
Some bad ass pax finished the prescribed HDT by completing a 12 Minute Ruck",backblast
rise,sushi,"barker,classified,groot,husker,jar jar,kettle,sushi,wafer",,2023-08-09,1% Better,"CONDITIONS:
59°F / 15°C
Partly cloudy, strong breeze

WARMUP:
Disclaimer
SSH x10 IC
F3 Core Values
Waterfall stretch x10 IC
F3 Mission
Tin Soldiers
3S2T
Michael Phelps
F3 Credo
Count off
Assign battle buddies

THE THANG:
Bropees x10 OMD
Mosey to the base of the hill
Plank high five x10 IC
Mosey up the hill, insert disruption at 80% up --> transition to bear crawl
Circle squats x20 OMD
Mosey to the field
Group lunge x25 OMD
Plank Forest Plank (credit Gas Man)
Mosey to the playground
Alarm Clocks x23 OMU (credit BiCzar)
Mosey to the parking lot
Coupon Kettlebell swings x25 OMU
Coupon Bent-over rows x23 OMU
Coupon Overhead press x22 OMU
Rifle carry to the grass
Line coupons up --> Afghani Commandos (credit Defrost)
Coupon line drills:
High knees
Side-to-side jump
Zig-zag run
Bear crawl
Crawl bear
Military crawl
Low plank to time

MARY:
Incorporated

ANNOUNCEMENTS:
Abe's Deck wrap-up this weekend
Aaron Butler
Covering House
If you're not joining GrowRuck, considering helping - support staff/volunteers needed

COT:
F3 is safe space for you to fail, either in terms of your physical/mental stamina or in terms of your leadership.  Failure, vulnerability, and blunt honesty are all part of natural growth and development which should not stop not matter how many years you have under your belt.

Thanks for allowing me to lead today.

-Sushi",backblast
tower,huckleberry,"face plant,huckleberry",,2023-08-08,Face Plant x 100.,"Weather: 55 degrees with a thick marine layer making visibility low.

*WARMUP:* Tell an FNG I'll meet him at Bellagio and then forgetting. Sorry Big Mac. Thx Bellagio boys for picking up my slack.

*THE THANG:* Talk and Mosey. More talk than mosey but spending 1-1 time with a PAX are always very cherishable moments.

*MARY:* Still hanging around with the Retina dude, last I asked.

*ANNOUNCEMENTS:* As we're walking away getting ready to head to coffeteria, Face Plant casually mentions today was his 100th post. 100 posts in 11 months. Instantly, made my morning and reminded me of the impact F3 has on the man and our communities.

*COT:* Yep",backblast
bellagio,freighter,"bigmac,freighter,methane,samwise,stinger,strings",big mac,2023-08-08,Long DD and a McDonalds stop,"*THE THANG:*
Slick100 yard table push 
Mosey to the statue
5 Burpees
Mosey to the North bathrooms
slick 100-yard table push
Mosey to starting line
5 Burpees
Weight vest on
Weight vest 100 yard table push
Mosey to the statue.
5 HRM
Mosey to north bathrooms.
Weight vest 100-yard table push
Mosey to the starting line 
5 HRM
Weight vest + coupon 100-yard table push
Mosey to the statue
5 Blockees 
Mosey to north bathrooms
Weight vest + coupon 100-yard table push
Mosey to the starting line
FNG needed to leave and find Mcdonald's since Bellagio bathrooms were locked.
Load up all the gear and take it back to the vehicles. 
Circle up and did SB workouts until time called. 

*ANNOUNCEMENTS:*
GTE

*COT:*
Yep",backblast
iron-mountain,hightower,"big sky,chlorine,hightower",,2023-08-08,Fartlek Mosey and Burpees!,"*WARMUP:*
Mosey 
1 Burpee
Warm up Exercise 1
+1
Repeat to 10 burpees
*THE THANG:*
Fartlek mosey with a 5 burpee buy in 
Air squats 
Repeat with merkins, more air squats, and BBS
*MARY:*
Card sharks until time - mostly blockees and burpees for Chlorine 
*ANNOUNCEMENTS:*
Upcoming Grow Ruck

*COT:*
DR Pax , upcoming school starts and sports ",backblast
rebel,bandit,"bandit,buff,chief,family guy,pigeon,tenor",,2023-08-08,New kicks,"*WARMUP:* we rebel
*THE THANG:*we rebeled up Eagle
*MARY:*it’s a rebel thing
*ANNOUNCEMENTS:*yup there were some. 
*COT:*should have been there!",backblast
bellagio,freighter,"freighter,methane,samwise,stinger",,2023-08-08,KF DD,"*THE THANG:*
slick half-lap mosey to the statue.
5 Burpees
slick half-lap mosey to starting line.
5 Burpees
Weight vest half lap mosey to the statue.
5 HRM
Weight vest half lap most to starting line.
5 HRM
Weight vest + coupon half lap mosey to the statue.
10 Curls
Weight vest + coupon half lap mosey to starting line.
10 Curls 
Weight vest + SB half lap mosey to the statue.
5 SB overhead toss
Weight vest + SB half lap mosey to starting line.
5 SB overhead toss
Weight vest + 100lb burden bag mosey to the statue. 
5 Burden bag squats
Weight vest + 100lb burden bag mosey to starting line.
5 Burden bag squats
FNG shows up and we all do a slick mosey around the park
Time called.",doubledown
gem,metamucil,"bruno,canuck,doodle,gopher,hooch,zilla,kremlin,metamucil,princess,retina,sheets,tater,twister,wooderson,yardstick",,2023-08-08,You call that a BD!,"*WARMUP:* 
- Little Baby Arm Circles, 
- Reverse
- Michael Phelps
- Grass Grabbers
- Merkins
- Parking Lot Mosey (Double Apple Sauce) x 1 Lap
*THE THANG:* 
- Sandbag Carry 1/2 lap of Park, 
- 35+1 Merkins, BigBoy SU's, Flutter Kick 3 count
- Move as fast as safe with Sand Bags back to start
- 3 Sprints length of park
*MARY:*
- Late Burpees took us home!
*ANNOUNCEMENTS:* 
- Aaron Butler Memorial Run on Aug 19th (Link in thread)
- 9/11 Miles of Remembrance (Link in Thread)
*COT:* Share the Goodness of God with someone today, acknowledge we are all made for a purpose

Consequence is different that punishment.  Acknowledge consequences are a product of actions GOOD OR BAD. Punishment is to help curve negative actions into positive behavior. Be Moldable today",backblast
rise,timney,"sushi,timney",,2023-08-07,Failure is Guaranteed ,"*WARMUP:*
1/2 mile mosey
*THE THANG:*
flutter kicks to failure, first to drop does 5 burpees
15 SB clean and press
ruck plank to failure, burpees penalty
AMRAP pullups
HR Merkins to failure
ruck lunges
SB wall sit to failure
30 bentover rows
SB squat to failure
rifle carry rucks to failure
ruck and sandbag up the hill",doubledown
old-glory,kremlin,"biczar,halitosis,kremlin,red card,retina,yardstick",,2023-08-07,Dora on the asphault,"*WARMUP:*
Mozy/rozy around the park

Side straddle hop X 10
True Michael Phelps X 6
Asphalt grabbers X 10
Little baby arm circles X 10
Flapjack
Quad stretch 10 count
Flapjack

*THE THANG:*
Dora ladder in parking lot
Merkins X 100
Big boy situps X 200
Squats X 300
Curls X 200
Sidewalk dips X 100

Overhead press X 10
Bent over rows X 30

*MARY:*
Heals to heaven X 10
Side plank 10 count
Flapjack
Boat canoes 
Forward leaning rest 

*ANNOUNCEMENTS:*
GTE

*COT:*

Focus today on being proactive and taking the initiative in our lives. Start with the small things so that we can achieve inner victories before we move toward outer victories.

Thanks all for making the choice to come out this morning and work hard! ",backblast
rise,wafer,"barker,classified,groot,husker,jar jar,kettle,sushi,timney,wafer",,2023-08-07,Remember me for centuries,"My 100th BD

*WARMUP:*
Disclaimer
SSH IC x15
Abe Vigoda IC x15
LBAC IC x10 / flapjack
Grass Grabbers IC x10

*THE THANG:*
Coupons to the pavilion

Squats OMD x25
Curls OMU x25
Step ups OMU x25
Dips OMD x25
Repeat

Slowsy to the hill
Mosey up/back
Slowsy back to pavilion

Repeat for 100 of each exercise
Add and hold one additional rep of each to symbolize the next 100BD.

Slowsy to hill
Mosey up/down/back to pavilion  

*MARY:*
Flutter kicks IC x25
LBC OMU x25
Hello Dollys OMD x25
Leg Lifts OMU x25

(Total 100)

*ANNOUNCEMENTS:*
Sign up for GTE (participate or help)
Aaron Butler Run 8/19
Covering House week 8/20
Abe’s deck almost done… one more day

*COT:*
We all have issues with relationships.  TAP to allow us to be better men in our relationships, our workplace, and our community.  Ask for healing physically, mentally, spiritually, and emotionally.",backblast
bleach,sheets,"canuck,double wide,epa,hooch,moab,hillary,old spice,pearl,puff,sheets",,2023-08-07,Blown out speakers,"WARMUP:
5 to 1 Motivator
Abe Vigoda
Michael Phelps + Overhead Clap
Tin Soldiers
Grass Grabbers

THE THANG:
Ruck + Sandbag mosey to Football Field - drop sandbag

Series of 11s - Everyone with a battle buddy
Ruck Run back and forth between end zones through the sprinklers
North Endzone - Mountain Climbers (Ruck stays on)
South Endzone - Sandbag Clean + Overhead toss

-Start at South Enzone - Run/ruck to North - 11 Mountain Climbers Run/ruck to opposite end zone
-1 Sandbag Clean + Overhead toss - Run/Ruck to opposite endzone - 10 Mountain Climbers- Run/Ruck to opposite endzone
-2 Sandbag Clean + Overhead toss - Run/Ruck to opposite endzone - 9 Mountain Climbers- Run/Ruck to opposite
-3 Sandbag Clean + Overhead toss - Run/Ruck to opposite endzone - 8 Mountain Climbers- Run/Ruck to opposite
-Continue until final set of 11 Sandbag Clean + Overhead toss
Ruck/Sandbag Mosey back to flags

MARY:
Drop ruck/sandbag - Hold low squat until 6AM

ANNOUNCEMENTS:
Covering House
Aaron Butler Run
GTE38 (sign up or volunteer)
Firearms safety (Hooch - see # mumblechatter)

THAT'S WHAT SHEETS SAID:
Each of you PAX did what needed done today - by showing up.  For me, sometimes that is the hardest part of life - showing up.  I've recently struggled in other aspects of my life by not wanting to show up - whether it be for family obligations, things that need done around the house, or things I should be doing with my kids.  The reminder for me is to take what I have in F3 - no matter how tired I am, if I just show up, actually doing what needs done automatically follows.  I have HIMs surrounding me, pushing me, supporting me when the going is tough, but I can keep going.  Well done in showing up this morning and pushing yourself and each other - my hope is that we can all carry this forward consistently in the other aspects of our lives.

COT: Yes, please and thank you.",backblast
