ao,q,pax,fngs,date,title,moleskine,bb_type
bleach,sheets,"epa,hillary,hooch,moab,prince,sheets,strings,windbag",,2023-09-11,Morning of Remembrance,"Disclaimer - modify as necessary with or without weight vests
WARMUP:
Abe Vigoda - 9x in cadence
Side Straddle Hops - 11x in cadence
Michael Phelps - 9x in cadence
Tin Soldier - 11x in cadence
Grass Grabber - 9x in cadence
Imperial Walker - 11x in cadence
Mosey to football field

THE THANG:
9 Burpees on my down

Line up at goal line - run 100 yards
Everybody holds 1 low squat until everyone finishes
Back on goal line - run 100 yards to beginning
Hold 1 low squat until everyone finishes
9x Burpees on my down
Complete the above 10 times
Total of 2000 yards plus 1 low squat = 2001
9x Burpees 11 times
Never Forget. 

MARY:
Today marks 22 years since 9/11/2001
No Surrenders - 22x in cadence.
Never Forget.

ANNOUNCEMENTS:
Miles of Remembrance tonight - HC in #2nd-f channel - we will ruck together after all of the runners get started
This weekend - GTE38 - thank you to all the volunteers
Saturday morning 9/16 Kingbuilder BD - see #1st-f channel to HC
Saturday 9/23 at 5PM - Lasagne with @Rocketman at Old Glory - HC to let him know how many in your family will join and see about helping in #mumblechatter channel
Saturday 9/30 - F3 leadership conference - details TBS

THAT'S WHAT SHEETS SAID:  Today is a day to remember how our world changed so dramatically 22 years ago.  Let's remember the people that were lost, the families torn apart, the first responders going up the stairs in the towers while everyone else was trying to get out, and the veterans who selflessly give all across the world to keep us safe at home.  Let's spend the day thinking about them, finding ways to be kind to others, and being thankful for those who have served and continue to serve to protect us.  Never Forget.

COT:  Yes, please, and thank you.  Solemn remembrance.

Thank you for spending the morning in the gloom with me today.  I'm glad I was able to spend an important day with all of you.",backblast
bellagio,retina,"gas man,kremlin,napoleon,old spice,retina,sheets",,2023-09-09,IPC Week 1,"*WARMUP:* small mosey, double time IC grass grabbers, Abe Vigoda, Michael Phelps. 
*THE THANG:* see photo below for as many reps as we could do in 45 minutes. 
*MARY:* nope
*ANNOUNCEMENTS:* GTE, lasagna. 
*COT:* had to be there. ",backblast
gem,rocketman,"rocketman,yardstick",,2023-09-09,Holding the Gem fort,"*WARMUP:*

Not needed after the 4+ miles mosey DD

*THE THANG:*

Mosey to Tully Park

6 pull-ups
40 hand-release merkins
50 frog-leg sit-ups
6 pull-ups

Mosey back to the Gem

*MARY:*

Potpourri of stretches

*ANNOUNCEMENTS:*

GTE, Lasagne Party, Mission43 9/11 walk

*COT:* Done

Thank you Yardstick for the company, the push, and the good conversion this morning.",backblast
ruckership-west,escobar,"escobar,rocketman,timney",,2023-09-09,Escobar's Very Good ruck,"WARMUP:

*THE THANG:
Hiked 2.5 miles primarily  up elevation, which included 3l7° graded hill and shared an 85 pound SB.

MARY:

ANNOUNCEMENTS:

Mission 43's 9/11 Miles of Rememberance on September 11th at Anne Morrison Park

The F3 Leadership Summit and Rocketman's Lasagna Party are both coming up.   HC in the 2nd F Channel.

COT:

Praying that our PAX stay healthy. ",backblast
iron-mountain,escobar,"chlorine,escobar",,2023-09-09,The Climb to Remember ,"WARMUP:

THE THANG:
In the hour, climbed over 2,000 steps on benches that represented the 110 floors to the top of the Twin Towers.

We took a moment to recognize the brave FDNY Firefighters who climbed up the stairs in full gear to rescue the trapped and injured victims.  Many of the units assigned to this task suffered 99% - 100% casualties for their efforts.

MARY:

ANNOUNCEMENTS:
Mission 43's 9/11 Miles of Rememberance on September 11th at Anne Morrison Park in Boise at 600PM

After Growruck we have the F3 Leadership Summit and Rocketman's Lasagna Party.  Please HC to confirm numbers.  Also think about bringing a dish to help feed the PAX Ms and 2.0s.

COT:

Always praying for our PAX and families!",backblast
tower,doodle,"canuck,doodle,face plant,telecaster",,2023-09-09,The one where we did Jillian Michaels ,"*WARMUP:* 
OYO stretch and review the Iron Pax Week 1 movements 

*THE THANG:*
Iron Pax Week 1
See link in comments 

*MARY:*
Yoga stretches 
YHC doesn’t know the names of them all. 

*ANNOUNCEMENTS:*
GTE weekend review 
9/11 memorial run/ruck
Lasagna party 
10,000 swing challenge 

*COT:*
Prayers for presence and patience ",backblast
bleach,timney,"hacksaw,hooch,pigeon,samwise,timney,windbag",,2023-09-09,11s to Death ,"*WARMUP:*
SSH, waterfall stretch, GG, MP, and LBAC
*THE THANG:*
4 sets of 11s
pullups and Merkins, no rest in between
ruck rollers and high pulls, rifle carry between
ruck pullovers and leg lifts, no rest in between
curls and bent over rows, no rest in between 
*MARY:* 30 flutter kicks, 25 LBAC, 10 Catalina wine mixers
*ANNOUNCEMENTS:* Growruck, Lasagna, leadership summit 
*COT:*complete ",backblast
backyard,telecaster,"cortana,da wurst,doodle,face plant,flea fly,sand trap,sriracha,strings,tater,telecaster",,2023-09-08,Fun with Sandbags,"*WARMUP:*

SSH 
Abe Vigodas
Potato Pickers
Butt Kickers 2X
High Knees 2X

*THE THANG:*

Sandbags UP
Mosey to Corner 1

5 Sandbag Burpees
10 BOR
15 Merkins on the Sandbag
20 Sandbag Squats
25 BBSU

Sandbags UP
Mosey to Corner 2

5 Sandbag Burpees
10 BOR
15 Merkins on the Sandbag
20 Sandbag Squats
25 BBSU

Sandbags UP
Mosey to Corner 3

5 Sandbag Burpees
10 BOR
15 Merkins on the Sandbag
20 Sandbag Squats
25 BBSU

Sandbags UP
Mosey to Corner 4

5 Sandbag Burpees
10 BOR
15 Merkins on the Sandbag
20 Sandbag Squats
25 BBSU

At the Tables

30 Steps up with Sandbag
15 Derkins
15 Incline Merkins

Mosey to Park Bathrooms 2x

Wall sit for 1.5min

Back to Flags

*MARY:*

10 Control Freak Merkins
10 Heals to Heaven
10 Flutter Kicks

TIME CALLED

*ANNOUNCEMENTS:*

GTE NEXT WEEKEND
Lasagna Party 9/23  HC NOW
9/1 Mission 43 5k FREE to sign up

*COT:*  Had to be there",backblast
ruckership-east,jar jar,"barker,classified,epa,hawkeye,jar jar,wafer",,2023-09-08,Rucking up to top of Table Rock,"*WARMUP:*
Put ruck on

*THE THANG:*
Great work everyone today!  Ruck up to top of Table Rock w/ fast pace ~ 37min to top. 

*MARY:* na

*ANNOUNCEMENTS:*
GTE next week. 
Next week Rise IPC moves to Monday to keep space from GTE. 

*COT:*
Inspire each other in the gloom. 
Heal every injury
Fast feet recover Barker",backblast
camels-back-park,sushi,"backslash,cavity,deepdish,gopher,jesse mix,link,mark sargent,neinstein,sheets,sunshine,sushi",,2023-09-08,Fun fun fun fun looking forward to the weekend,"CONDITIONS:
55°F / 13°C
Clear

Disclaimer

WARMUP:
Merkins x10 IC
Tin soldiers x10 IC
High knees x20 IC
Late burpees x10

THE THANG:
Simple explanation:
Q says:
""7AM Wakin' up in the morning"" = Alarm clocks x10 OMU
""Kickin' in the front seat"" = Flutter kicks x10 IC
""Sittin' in the back seat"" = American Hammers x10 IC
""Which seat can I take"" = dealer's choice flutter kicks or hammers x10 IC
""Gotta get down on Friday"" = HR Merkins x10 OMD
""Partyin' Partyin'"" = PAX needs to recite the chorus together or else penalty 10 burpees

Begin
7AM Wakin' up in the morning
Gotta get down to the bus stop (mosey to corner of 13th and Heron)
Gotta get down on Friday
Kickin' in the front seat

I got this (Mosey up and over the hill counter-clockwise)
Sittin' in the back seat (on top of the hill)

You got this (Mosey up and over the hill with coupon)
My friend is by my right, ey (Overhead press, then pass your coupon to the pax on your right, repeat x11)

MARY:
Gotta get down on Friday
Kickin' in the front seat
Sittin' in the back seat
Which seat can I take

Wrapped up with ""Now you know it"" = LBC x50 OMU

Honorable mention to Teep who joined for last 4min of the BD

ANNOUNCEMENTS:
GrowRuck next weekend!!
Rocketman's lasagna gig - HC ahead of time

COT:
Gratitude for the simplest of things that we have, health and spirit.  Support those around you who need it.",backblast
