Name,Q Count
Canuck,15
Hooch,13
Crunch,9
Gopher,9
Tater,4
Stinger,6
Arson,2
Old Spice,1
Boogeyman,1
Huckleberry,1
Flea Fly,1
Classified,1
Hacksaw,3
EPA,3
Eagle,2
Tenor,2
Backslash,3
Fanny Pack,1
Timney,2
