Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Monday,7/25/2022,Gopher,7,,"Gopher, Stinger, Hooch, Timney, Eagle, Canuck, Tenor",,7,2022
Wednesday,7/27/2022,Stinger,8,,"Stinger, Hooch, Hacksaw, Canuck, Timney, Eagle, Sand Trap, Tenor",,7,2022
Saturday,7/30/2022,Canuck,6,,"Canuck, Hacksaw, Timney, Eagle, Amnesia, Classified",,7,2022
Monday,8/1/2022,Hooch,9,,"Hooch, Canuck, Hacksaw, Tenor, Timney, Pigeon, Backslash, Gopher, Puff",,8,2022
Wednesday,8/3/2022,Hooch,10,,"Hooch, Canuck, Freighter, Hacksaw, Tenor, Puff, Pigeon, Timney, Backslash, Stinger",,8,2022
Saturday,8/6/2022,Hacksaw,8,,"Hacksaw, Eagle, Timney, Stinger, Backslash, Canuck, Classified, Rupture",,8,2022
Monday,8/8/2022,Crunch,10,,"Crunch, Canuck, Timney, Puff, Stinger, Pigeon, EPA, Hacksaw, Backslash, Eagle",,8,2022
Wednesday,8/10/2022,Timney,15,,"Timney, Hacksaw, Pigeon, Canuck, Freighter, Puff, Slice, Hooch, Daft, Stinger, EPA, BumpHer, Backslash, Iggy, Focker",,8,2022
Saturday,8/13/2022,Canuck,5,,"Canuck, Hacksaw, EPA, Timney, Hooch",,8,2022
Monday,8/15/2022,EPA,11,,"EPA, Puff, Pigeon, Hacksaw, Timney, Hooch, Old Spice, Tenor, Backslash, Iggy, Canuck",,8,2022
Wednesday,8/17/2022,Timney,12,,"Timney, Backslash, Daft, Puff, Hooch, Tenor, Classified, EPA, Stinger, Hacksaw, Iggy, Cliffhanger",,8,2022
Saturday,8/20/2022,Stinger,3,,"Timney, Stinger, Backslash",,8,2022
Monday,8/22/2022,Backslash,14,1,"Backslash, Stinger, Tenor, Timney, Tater, Old Spice, Puff, Hooch, Iggy, EPA, Gopher, Pigeon, Cliffhanger, Firewall",,8,2022
Wednesday,8/24/2022,Tenor,14,,"Tenor, Freighter, EPA, Gopher, Stinger, Backslash, Paneer, Slice, Puff, Cliffhanger, Timney, Hooch, Iggy, Daft",,8,2022
Saturday,8/27/2022,"Canuck, Hacksaw, Stinger",46,,"Canuck, Hacksaw, Stinger, Puff, Tater, Norsk, Huckleberry, Bruno, Wooderson, Classified, Amnesia, Bumpher, Big Sky, Pool Boy, Old Spice, Chlorine, Telecaster, Rocketman, Freighter, Paneer, Hooch, Samwise, Doppler, Halitosis, Flo, Bacon, Backslash, Blade, Yardstick, Sand Trap, Napoleon, Carnival, Tenor, Gurkha, Timney, Gas Man, Focker, Revere, Slice, Wifi, Lawsuit, Gopher, Atlas, Lilo, Escobar, Kraken","",8,2022
Monday,8/29/2022,Hooch,11,,"Hooch, Backslash, Canuck, EPA, Iggy, Old Spice, Puff, Squid, Stinger, Tenor, Firewall",,8,2022
Wednesday,8/31/2022,EPA,8,,"EPA, Tenor, Hooch, Old Spice, Pigeon, Timney, Cliffhanger, Spokes (FNG)",,8,2022
Saturday,9/3/2022,Canuck,7,,"Canuck, Classified, Stinger, Old Spice, Hooch, Goldblume (DR), Lilo",,9,2022
Monday,9/5/2022,Timney,13,,"Timney, Iggy, Squid, Pigeon, Hacksaw, Canuck, Stinger, Spokes, Eagle, Puff, MuttonBuster (FNG), Gopher, Hooch",,9,2022
