Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Tuesday,5/31/2022,Lilo,4,0,"Lilo, Tater, Chunks, Gopher",,5,2022
Thursday,6/2/2022,Huckleberry,5,0,"Lilo, Tater, Chunks, Gopher, Huckleberry",,6,2022
Tuesday,6/7/2022,Lilo,10,0,"Lilo, Huckleberry, Norsk, Doppler, Stinger, Canuck, Freighter, Hacksaw, Tenor, Blade","Lilo took it ""easy"" on the GrowRuck PAX",6,2022
Thursday,6/9/2022,Lilo,2,,"Rocketman, Lilo",,6,2022
Tuesday,6/14/2022,Rocketman,4,,"Rocketman, Lilo, Tater, Gopher",,6,2022
Thursday,6/16/2022,Doppler,5,0,"Doppler, Tenor, Tater, Lilo, Huckleberry",,6,2022
Tuesday,6/21/2022,Huckleberry,2,0,"Huckleberry, Tenor",,6,2022
Thursday,6/23/2022,Tater,6,,"Huckleberry, Tater, Gopher, Juke, Vin Diesel, Norsk",Juke (FNG),6,2022
Tuesday,6/28/2022,Lilo,3,0,"Lilo, Tenor, Tater",,6,2022
Thursday,6/30/2022,Doppler,5,0,"Doppler, Tenor, Tater, Lilo, Huckleberry",,6,2022
Tuesday,7/5/2022,Lilo,4,,"Doppler, Tenor, Lilo, Huckleberry",,7,2022
Thursday,7/7/2022,Doppler,6,,"Doppler, Lilo, Tater, Gopher, Norsk, Huckleberry",,7,2022
Tuesday,7/12/2022,Lilo,9,,"Lilo, Canuck, Tenor, Norsk, Turducken, Huckleberry, Doppler, Gopher, Snots",,7,2022
Thursday,7/14/2022,Huckleberry,5,,"Lilo, Tenor, Tater, Norsk, Huckleberry",,7,2022
Tuesday,7/19/2022,Lilo,6,,"Lilo, Doppler, Gopher, Tenor, Blade, Backslash",,7,2022
Thursday,7/21/2022,Doppler,4,,"Doppler, Lilo, Gopher, Wolf",Wolf (FNG),7,2022
Tuesday,7/26/2022,Doppler,4,,"Doppler, Tenor, Gopher, Norsk",,7,2022
Thursday,7/28/2022,Gopher,4,,"Doppler, Lilo, Norsk, Gopher",,7,2022
Tuesday,8/2/2022,Lilo,10,,"Lilo, Tater, Tenor, Gopher, Doppler, Backslash, Timney, Huckleberry, Stinger, Cortana",,8,2022
Thursday,8/4/2022,Doppler,4,,"Doppler, Tenor, Blade, Tater",,8,2022
Tuesday,8/9/2022,Tater,5,,"Backslash, Norsk, Cortana, Huckleberry, Tater",,8,2022
Thursday,8/11/2022,Lilo,5,,"Lilo, Doppler, Huckleberry, Norsk, Altar Boy (FNG)",Altar Boy (FNG),8,2022
Tuesday,8/16/2022,Lilo,9,,"Lilo, Tater, Doppler, Backslash, Tenor, Pigeon, Gopher, Norsk, Cortana",,8,2022
Thursday,8/18/2022,Doppler,7,,"Doppler, Gopher, Tenor, Norsk, Altar Boy, Blade, Chief",Chief (FNG),8,2022
Tuesday,8/23/2022,Huckleberry,1,,Huckleberry,,,
Thursday,8/25/2022,Huckleberry,9,,"Gopher, Doppler, Cortana, Tater, Chief, Pigeon, Altar Boy, Tenor, Huckleberry",,,
Tuesday,8/30/2022,Lilo,9,,"Lilo, Huckleberry, Tenor, Chief, Pigeon",,8,2022
Thursday,9/1/2022,Doppler,9,,"Doppler, Huckleberry, Altar Boy, Tenor, Lilo",,9,2022
