Dopp,,,5.56,1,,,,,,,Rebel PAX FNG Dashboard,,,Rebel  Q Counts (thru 1/18),,,Rebel Pax Counts (thru 4/14/22),,,422
Day,Date,Q ,Count,FNGs,Pax,Notes,Month,Year,,#,Rebel PAX,Sponsor,,Name,Q Count,,Name,Post Count,,
Tuesday,11/23/2021,Lilo,12,0,"Lilo, Tater, Freighter, Doppler, Huckleberry, Gopher, Boogeyman, Retina, Laettner, Carnival, Samwise, Halitosis",The Rebel Launch!,11,2021,,1,Norsk,Tater,,Lilo,28,,Doppler,62,,
Thursday,11/25/2021,Lilo,4,0,"Lilo, Gopher, Huckleberry, Boogeyman","Rebel ""borrowed"" The Gem Flags",11,2021,,2,Juke,Gopher,,Huckleberry,17,,Gopher,57,,
Tuesday,11/30/2021,Lilo,4,0,"Lilo, Huckleberry, Gopher, Doppler",,11,2021,,3,,,,Doppler,11,,Huckleberry,55,,
Thursday,12/2/2021,Huckleberry,5,0,"Huckleberry, Doppler, Canuck, Blade, Gopher",,12,2021,,4,,,,Gopher,7,,Lilo,50,,
Tuesday,12/7/2021,Tater,6,0,"Slice, Tater, Lilo, Canuck, Gopher, Doppler",,12,2021,,5,,,,Tater,7,,Tater,42,,
Thursday,12/9/2021,Lilo,4,0,"Doppler, Huckleberry, FireBall",Run ,12,2021,,6,,,,Rocketman,2,,Norsk,31,,
Tuesday,12/14/2021,Lilo,6,0,"Doppler, Gopher, Tater, Lilo, Huckleberry, Canuck","Goose, Snowy Run",12,2021,,7,,,,Canuck,2,,Canuck,18,,
Thursday,12/16/2021,Tater,5,0,"Doppler, Gopher, Tater, Lilo, Huckleberry",Found the Hot Springs,12,2021,,8,,,,FleaFly,1,,Tenor,15,,
Tuesday,12/21/2021,Huckleberry,3,0,"Doppler, Gopher, Huckleberry",,12,2021,,9,,,,Metamucil,1,,Stinger,9,,
Thursday,12/23/2021,Huckleberry,3,0,"Doppler, Canuck, Huckleberry",Goose,12,2021,,10,,,,Norsk,1,,EPA,6,,
